2013-11-27 16:06:22 status unpacked libpng12-0:armhf 1.2.49-4ubuntu1
2013-11-27 16:06:22 status unpacked libpng12-0:armhf 1.2.49-4ubuntu1
2013-11-27 16:06:22 install libprocps0:armhf <none> 1:3.3.3-2ubuntu7
2013-11-27 16:06:22 status half-installed libprocps0:armhf 1:3.3.3-2ubuntu7
2013-11-27 16:06:22 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu7
2013-11-27 16:06:22 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu7
2013-11-27 16:06:23 install libselinux1:armhf <none> 2.1.13-2
2013-11-27 16:06:23 status half-installed libselinux1:armhf 2.1.13-2
2013-11-27 16:06:23 status unpacked libselinux1:armhf 2.1.13-2
2013-11-27 16:06:23 status unpacked libselinux1:armhf 2.1.13-2
2013-11-27 16:06:23 install libsemanage-common:all <none> 2.1.10-2
2013-11-27 16:06:23 status half-installed libsemanage-common:all 2.1.10-2
2013-11-27 16:06:23 status unpacked libsemanage-common:all 2.1.10-2
2013-11-27 16:06:23 status unpacked libsemanage-common:all 2.1.10-2
2013-11-27 16:06:23 install libsemanage1:armhf <none> 2.1.10-2
2013-11-27 16:06:23 status half-installed libsemanage1:armhf 2.1.10-2
2013-11-27 16:06:24 status unpacked libsemanage1:armhf 2.1.10-2
2013-11-27 16:06:24 status unpacked libsemanage1:armhf 2.1.10-2
2013-11-27 16:06:24 install libsepol1:armhf <none> 2.1.9-2
2013-11-27 16:06:24 status half-installed libsepol1:armhf 2.1.9-2
2013-11-27 16:06:24 status unpacked libsepol1:armhf 2.1.9-2
2013-11-27 16:06:24 status unpacked libsepol1:armhf 2.1.9-2
2013-11-27 16:06:24 install libslang2:armhf <none> 2.2.4-15ubuntu1
2013-11-27 16:06:24 status half-installed libslang2:armhf 2.2.4-15ubuntu1
2013-11-27 16:06:24 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2013-11-27 16:06:25 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2013-11-27 16:06:25 install libss2:armhf <none> 1.42.8-1ubuntu1
2013-11-27 16:06:25 status half-installed libss2:armhf 1.42.8-1ubuntu1
